,Tau vs WT,A? vs WT,Tau;A? vs WT
CELE_ZK180.6,0,0,1
CELE_F10D11.6,0,0,1
far-1,0,0,1
col-184,0,0,1
tct-1,0,0,1
tbb-1,0,0,1
F46H5.3,0,0,1
mua-3,0,0,1
CELE_Y62H9A.5,0,0,1
grd-14,0,0,1
pck-2,0,0,1
vha-13,0,0,1
vit-5,0,0,1
fipr-21,0,0,1
rme-1,0,0,1
car-1,0,0,1
uba-1,0,0,1
rpl-4,0,0,1
tba-1,0,0,1
ant-1.1,0,0,1
pqn-22,0,0,1
vha-11,0,1,0
CELE_F55B11.2,0,1,0
efa-6,0,1,0
H28O16.1,0,1,0
CELE_Y47G6A.15,0,1,0
let-805,0,1,0
vit-1,0,1,1
CELE_ZC373.2,0,1,1
ttr-14,0,1,1
CELE_D1054.11,0,1,1
mup-4,0,1,1
CELE_Y62H9A.3,0,1,1
vit-6,0,1,1
CELE_F48E3.4,0,1,1
cht-3,0,1,1
skpo-1,0,1,1
vit-2,0,1,1
rpl-22,0,1,1
CELE_ZK813.3,1,1,0
CELE_Y62H9A.6,1,1,1
CELE_D1054.10,1,1,1
cbd-1,1,1,1
perm-4,1,1,1
